simtime,source,dest,needed,holding time
31.337654,13.0,11.0,20.0,37.364268
35.560432,13.0,11.0,20.0,28.559372
43.775343,13.0,11.0,20.0,11.920485
44.018018,13.0,11.0,20.0,7.359068
45.73724,13.0,11.0,20.0,1.137888
55.084826,13.0,11.0,20.0,0.410127
68.508326,13.0,11.0,20.0,24.519602
69.976491,13.0,11.0,20.0,11.579259
83.67737,13.0,11.0,20.0,6.346705
136.748829,13.0,11.0,20.0,52.073695
150.530062,13.0,11.0,20.0,30.852644
153.459984,13.0,11.0,20.0,8.788272
157.030074,13.0,11.0,20.0,0.18208
158.422012,13.0,11.0,20.0,61.660968
186.378963,13.0,11.0,20.0,25.265998
244.302522,13.0,11.0,20.0,3.807321
257.526906,13.0,11.0,20.0,15.828169
263.35777,13.0,11.0,20.0,63.080137
268.343785,13.0,11.0,20.0,54.491088
273.400432,13.0,11.0,20.0,102.176648
278.434198,13.0,11.0,20.0,6.262129
278.516301,13.0,11.0,20.0,16.658393
306.468714,13.0,11.0,20.0,15.482195
310.749231,13.0,11.0,20.0,9.578133
338.030656,13.0,11.0,20.0,54.233722
351.000123,13.0,11.0,20.0,6.49834
357.738017,13.0,11.0,20.0,54.264501
360.696648,13.0,11.0,20.0,26.023368
363.993508,13.0,11.0,20.0,21.579476
364.849273,13.0,11.0,20.0,10.822134
395.376162,13.0,11.0,20.0,11.902223
